#{"t_start": 1672551357.435831, "env_id": null}
r,l,t
78.85,1377,120.036487
-10.05,179,134.135559
29.65,493,2707.323083
-10.15,197,2722.81587
-1.55,389,2753.38032
74.05,1401,2873.428327
13.05,61,5399.913851
-9.45,231,5418.530662
19.15,843,5485.339101
-10.55,229,5503.435633
10.65,553,5549.162646
-10.8,184,5563.779268
10.4,8,8116.290348
-13.45,131,8126.74149
-10.9,182,8141.425914
-0.15,517,8182.475127
8.05,561,8228.116585
4.05,481,8266.441586
11.8,176,10888.12739
-17.9,102,10896.131728
-7.25,255,10916.389591
-14.45,111,10925.240206
-2.85,403,10957.304943
-11.75,225,10975.354135
-6.75,265,10996.643569
-4.25,315,11021.674785
-7.9,242,11040.693474
5.5,130,13621.961391
-3.5,330,13648.942853
-14.6,108,13658.213853
-6.05,339,13687.924643
0.45,429,13724.381826
16.25,765,13790.152548
13.85,77,16399.69251
-15.0,240,16418.573421
23.4,888,16489.15686
-1.55,369,16518.663676
24.55,551,19240.820529
-5.3,374,19270.855676
-5.95,281,19292.919444
-10.35,193,19308.5279
-5.65,287,19331.441767
48.65,913,22058.400806
9.65,653,22110.148309
-12.8,204,22126.672907
-6.45,271,22149.422035
-10.8,184,22164.120913
-16.3,114,22173.214988
30.1,622,24796.396555
3.15,603,24844.756529
14.35,687,24901.057282
0.25,405,24934.445487
16.65,353,27731.418579
33.55,1011,27814.12452
-12.5,150,27826.215822
1.65,473,27863.473116
-4.65,367,27892.528626
12.35,47,30654.694331
36.2,1264,30753.127782
-13.1,198,30769.180587
-6.25,275,30791.618963
16.55,311,33552.866402
-9.75,165,33566.266975
-12.5,210,33584.468003
7.05,541,33629.492794
-5.5,290,33655.003807
24.15,823,33721.776956
10.95,19,36303.666793
63.35,1127,36423.944725
25.45,909,36494.847395
